Name,Cells,Genes,Class no.,Class %
AD00203,3770,24694,6,70.16 12.33 8.86 2.07 3.82 2.76
AD00204,2303,10827,5,88.28 3.56 3.82 4.26 0.09
AD00205,19282,25817,6,1.86 12.22 26.94 11.78 39.86 7.34
AD00206,25537,26582,6,43.86 17.08 1.4 21.94 11.13 4.58
AD00303,2261,17442,2,89.16 10.84
AD00307,6675,17240,7,68.28 2.91 7.16 4.64 14.07 1.48 1.45
AD00308,4742,17222,7,17.23 65.25 6.98 2.38 2.47 4.07 1.62
AD00309,4708,17196,7,76.83 1.4 1.15 10.47 6.01 1.02 3.12
AD00401,8153,14136,4,97.33 1.68 0.69 0.31
AD00405,1697,14701,4,86.15 1.41 12.32 0.12
AD00501,740,8976,2,95.54 4.46
AD00601,1572,12249,2,86.58 13.42
AD00602,1148,12655,2,94.16 5.84
AD00603,1146,12539,2,80.54 19.46
AD00604,2079,13483,2,92.35 7.65
AD00702,432,15092,2,94.91 5.09
AD00703,3764,11041,5,70.54 1.81 7.65 4.97 15.04
AD00704,519,15809,2,90.75 9.25
AD00705,655,16621,2,91.45 8.55
AD00714,2538,14314,4,76.16 14.42 6.3 3.11
AD00715,2974,14956,4,80.73 8.94 6.72 3.6
AD00716,2696,14564,4,78.34 7.2 10.68 3.78
AD01002,1689,12419,2,94.73 5.27
AD01004,1164,12568,2,95.62 4.38
AD01104,11873,22800,3,98.14 1.04 0.82
